1_ortho	4_cgram	11_infover	5_genre
dois	VER	imp:pre:2s;ind:pre:1s;ind:pre:2s;inf;	na
devrions	VER	cnd:pre:1p;	na
dusse	VER	sub:imp:1s;	na
dû	VER	par:pas;	m
devront	VER	ind:fut:3p;	na
devez	VER	imp:pre:2p;ind:pre:2p;	na
devant	VER	par:pre;	na
devrons	VER	ind:fut:1p;	na
devait	VER	ind:imp:3s;	na
devais	VER	ind:imp:1s;ind:imp:2s;	na
devaient	VER	ind:imp:3p;	na
dussent	VER	sub:imp:3p;	na
devriez	VER	cnd:pre:2p;	na
dût	VER	sub:imp:3s;	na
dûmes	VER	ind:pas:1p;	na
deviez	VER	ind:imp:2p;sub:pre:2p;	na
devraient	VER	cnd:pre:3p;	na
devions	VER	ind:imp:1p;	na
dussions	VER	sub:imp:1p;	na
dussiez	VER	sub:imp:2p;	na
dusses	VER	sub:imp:2s;	na
dut	VER	ind:pas:3s;	na
devons	VER	imp:pre:1p;ind:pre:1p;	na
devoir	VER	inf;	na
devrais	VER	cnd:pre:1s;cnd:pre:2s;	na
oui	ADV	na	na
ils	PRO:per	na	m
tous	ADJ	na	m
tout	ADJ	na	m
toute	ADJ	na	f
tout	ADJ:ind	na	m
toutes	ADJ	na	f
se	PRO:per	na	na
venir	VER	inf;	na
veniez	VER	ind:imp:2p;	na
venez	VER	imp:pre:2p;ind:pre:2p;	na
venions	VER	ind:imp:1p;	na
venais	VER	ind:imp:1s;ind:imp:2s;	na
venons	VER	imp:pre:1p;ind:pre:1p;	na
venu	VER	par:pas;	m
venue	VER	par:pas;	f
venues	VER	par:pas;	f
venaient	VER	ind:imp:3p;	na
vînt	VER	sub:imp:3s;	na
venant	VER	par:pre;	na
venait	VER	ind:imp:3s;	na
venus	VER	par:pas;	m
vins	VER	ind:pas:1s;ind:pas:2s;	na
viendrait	VER	cnd:pre:3s;	na
viens	VER	imp:pre:2s;ind:pre:1s;ind:pre:2s;inf;	na
viennent	VER	ind:pre:3p;sub:pre:3p;	na
vient	VER	ind:pre:3s;	na
vienne	VER	sub:pre:1s;sub:pre:3s;	na
viendront	VER	ind:fut:3p;	na
viendrons	VER	ind:fut:1p;	na
viendrions	VER	cnd:pre:1p;	na
viendriez	VER	cnd:pre:2p;	na
viendrez	VER	ind:fut:2p;	na
viendras	VER	ind:fut:2s;	na
viennes	VER	sub:pre:2s;	na
viendrais	VER	cnd:pre:1s;cnd:pre:2s;	na
viendraient	VER	cnd:pre:3p;	na
viendrai	VER	ind:fut:1s;	na
viendra	VER	ind:fut:3s;	na
vinrent	VER	ind:pas:3p;	na
vint	VER	ind:pas:3s;	na
vinssent	VER	sub:imp:3p;	na
vinsse	VER	sub:imp:1s;	na
ce	ADJ:dem	na	m
sur	PRE	na	na
toi	PRO:per	na	na
s'	PRO:per	na	na
ici	ADV	na	na
rien	PRO:ind	na	na
ma	ADJ:pos	na	na
comme	CON	na	na
lui	PRO:per	na	na
où	PRO:int	na	na
où	PRO:rel	na	na
si	ADV	na	na
là	ADV	na	na
suivait	VER	ind:imp:3s;	na
suivez	VER	imp:pre:2p;ind:pre:2p;	na
suives	VER	sub:pre:2s;	na
suivent	VER	ind:pre:3p;sub:pre:3p;	na
suive	VER	sub:pre:1s;sub:pre:3s;	na
suivant	VER	par:pre;	na
suivrions	VER	cnd:pre:1p;	na
suivîmes	VER	ind:pas:1p;	na
suivais	VER	ind:imp:1s;ind:imp:2s;	na
suivaient	VER	ind:imp:3p;	na
suivi	VER	par:pas;	m
suis	VER	imp:pre:2s;ind:pre:1s;	na
suivît	VER	sub:imp:3s;	na
suit	VER	ind:pre:3s;	na
suivie	VER	par:pas;	f
suivriez	VER	cnd:pre:2p;	na
suivies	VER	par:pas;	f
suivrez	VER	ind:fut:2p;	na
suivre	VER	inf;;	na
suivras	VER	ind:fut:2s;	na
suivrait	VER	cnd:pre:3s;	na
suivrai	VER	ind:fut:1s;	na
suivra	VER	ind:fut:3s;	na
suivrons	VER	ind:fut:1p;	na
suivons	VER	imp:pre:1p;ind:pre:1p;	na
suivit	VER	ind:pas:3s;	na
suivissent	VER	sub:imp:3p;	na
suivis	VER	ind:pas:1s;par:pas;par:pas;	m
suivirent	VER	ind:pas:3p;	na
suivions	VER	ind:imp:1p;	na
suivront	VER	ind:fut:3p;	na
suiviez	VER	ind:imp:2p;sub:pre:2p;	na
suivrais	VER	cnd:pre:1s;cnd:pre:2s;	na
suivraient	VER	cnd:pre:3p;	na
parlés	VER	par:pas;	m
parleriez	VER	cnd:pre:2p;	na
parleront	VER	ind:fut:3p;	na
parlerons	VER	ind:fut:1p;	na
parla	VER	ind:pas:3s;	na
parlai	VER	ind:pas:1s;	na
parlaient	VER	ind:imp:3p;	na
parlais	VER	ind:imp:1s;ind:imp:2s;	na
parlait	VER	ind:imp:3s;	na
parlant	VER	par:pre;	na
parlerions	VER	cnd:pre:1p;	na
parlas	VER	ind:pas:2s;	na
parlerez	VER	ind:fut:2p;	na
parlez	VER	imp:pre:2p;ind:pre:2p;	na
parleras	VER	ind:fut:2s;	na
